"","NKR.OL.Open","NKR.OL.High","NKR.OL.Low","NKR.OL.Close","NKR.OL.Volume","NKR.OL.Adjusted"
"227",18.92,18.92,18.700001,18.92,4800,4.516091
"228",18.92,18.92,18.92,18.92,15000,4.516091
"229",18.26,18.92,18.26,18.92,21552,4.516091
"230",18.92,18.92,18.92,18.92,0,4.516091
"231",18.92,18.92,18.26,18.59,50935,4.437322
"232",18.700001,18.700001,18.48,18.48,24476,4.411067
"233",18.700001,18.92,18.59,18.92,57987,4.516091
"234",18.700001,18.700001,16.5,16.940001,18824,4.406831
"235",18.370001,18.370001,16.610001,16.610001,13991,4.320984
"236",16.610001,16.719999,15.4,16.059999,105916,4.177905
"237",16.059999,16.5,15.84,15.84,26204,4.120673
"238",16.17,16.5,15.4,15.73,98171,4.092057
"239",15.95,15.95,15.07,15.18,100094,3.948979
"240",15.345,15.4,14.41,15.235,121224,3.963286
"241",15.235,15.455,14.96,15.18,54992,3.948979
"242",15.125,15.125,14.685,14.74,43902,3.834515
"243",14.85,14.85,13.75,14.74,87108,3.834515
"244",15.29,15.895,14.96,15.51,34436,4.034826
"245",15.95,16.280001,15.455,16.280001,52455,4.235137
"246",16.5,16.5,14.905,15.51,11655,4.034826
"247",15.675,15.675,15.015,15.015,27054,3.906055
"248",15.015,15.18,14.85,15.07,76160,3.920363
"249",15.4,15.4,15.07,15.07,39657,3.920363
"250",15.4,15.4,15.125,15.125,40049,3.934671
"251",15.4,15.4,14.795,15.125,12846,3.934671
"252",15.4,15.4,14.575,14.795,24347,3.848823
"253",15.235,15.4,15.07,15.4,134237,4.00621
"254",16.5,16.5,14.96,15.07,8592,3.920363
"255",15.95,15.95,15.235,15.235,19130,3.963286
"256",15.95,15.95,14.355,14.63,54147,3.8059
"257",15.07,15.07,14.135,14.465,84655,3.762976
"258",14.52,14.74,14.52,14.575,30404,3.791592
"259",14.85,14.85,14.52,14.575,7860,3.791592
"260",14.85,14.85,14.3,14.465,11989,3.762976
"261",14.575,14.74,14.08,14.245,55681,3.705745
"262",14.575,14.685,14.19,14.19,19360,3.691437
"263",14.19,14.465,14.135,14.245,38188,3.705745
